player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Marcão,BRA,DF,Sevilla,La Liga,26,1996,4,4,360.0,1.0,2.0,0.0,0.0,0.0,,,,0.18212737652529207,-3.7356821918460437,Low
Solly March,ENG,"FW,DF",Brighton,Premier League,28,1994,25,25,2150.0,7.0,4.0,6.5,5.1,6.5,83.0,109.0,284.0,-0.2943864171172844,7.306995043882821,High
Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,35,1988,19,19,1710.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.962184694866302,-3.2403669832564033,Low
Vincent Marchetti,FRA,MF,Ajaccio,Ligue 1,25,1997,23,22,1835.0,1.7,1.0,49.0,2.7,1.1,0.08,47.0,0.05,0.4203842733465803,5.556711571515586,High
Gian Marco Ferrari,ITA,DF,Sassuolo,Serie A,31,1992,23,19,1714.0,1.0,1.0,1.1,64.0,1.1,10.0,0.05,0.05,-1.0091571075811492,2.0586493891909727,High
Óscar de Marcos,ESP,DF,Athletic Club,La Liga,33,1989,26,23,1974.0,0.2,5.0,50.0,3.2,3.0,0.01,98.0,0.23,-1.4856709012237255,5.385058003958511,High
José Mari,ESP,MF,Cádiz,La Liga,35,1987,13,2,325.0,4.0,2.0,,,1.0,,,,-1.962184694866302,-5.08720825855481,Low
Pablo Marí,ESP,DF,Monza,Serie A,29,1993,20,18,1672.0,1.0,1.0,0.5,42.0,0.6,4.0,0.05,0.05,-0.5326433139385727,0.7005658609579757,Mid
José María Giménez,URU,DF,Atlético Madrid,La Liga,28,1995,17,15,1433.0,1.0,1.0,1.3,1.5,0.1,6.0,3.0,0.06,-0.2943864171172844,-2.0268783295722965,Low
Pablo Marín,ESP,MF,Real Sociedad,La Liga,19,2003,9,3,342.0,1.1,1.0,8.0,23.0,15.0,,,,1.8499256542743097,-0.14380938678659705,Mid
Razvan Marin,ROU,MF,Empoli,Serie A,26,1996,25,20,1844.0,2.0,2.0,1.1,2.1,1.1,27.0,81.0,18.0,0.18212737652529207,2.695753875634464,High
Guillermo Maripán,CHI,DF,Monaco,Ligue 1,28,1994,19,18,1575.0,3.0,3.0,1.4,0.1,1.4,3.0,44.0,0.17,-0.2943864171172844,-0.5844622029825852,Mid
Marlon,BRA,DF,Monza,Serie A,27,1995,19,15,1215.0,0.1,5.0,14.0,10.0,47.0,0.01,0.03,0.01,-0.05612952029599616,-0.82802394915359,Mid
Omar Marmoush,EGY,FW,Wolfsburg,Bundesliga,24,1999,24,12,1177.0,5.0,1.0,4.7,0.9,4.7,30.0,45.0,123.0,0.6586411701678685,0.483489039527891,Mid
Marquinhos,BRA,DF,Paris S-G,Ligue 1,28,1994,24,22,1990.0,2.0,2.0,1.7,2.1,0.4,4.0,9.0,0.09,-0.2943864171172844,-0.01669312839838144,Mid
Eric Martel,GER,MF,Köln,Bundesliga,20,2002,21,15,1354.0,0.8,3.0,9.0,28.0,39.0,0.05,0.08,0.05,1.6116687574530215,1.6789309065275437,High
Roger Martí,ESP,FW,Elche,La Liga,32,1991,12,8,655.0,0.6,1.0,8.0,1.2,0.7,,50.0,,-1.2474140044024373,-2.9322342466056357,Low
Roger Martí,ESP,FW,Cádiz,La Liga,32,1991,8,7,507.0,1.0,1.0,0.9,1.2,0.3,5.0,17.0,,-1.2474140044024373,-5.36357649504407,Low
Anthony Martial,FRA,FW,Manchester Utd,Premier League,27,1995,9,6,458.0,3.0,2.0,3.2,2.4,1.0,7.0,3.3,15.0,-0.05612952029599616,-4.354639452539738,Low
Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25,1997,20,17,1489.0,3.0,3.0,2.0,1.2,1.0,21.0,3.7,74.0,0.4203842733465803,-0.2011959868420527,Mid
